system,rider_wait_mean,rider_wait_p50,rider_wait_p90,rider_wait_p95,eta_error_mean,eta_error_p50,eta_error_p90,late_rate_3min,late_rate_5min,food_wait_mean,rider_idle_mean,for_noise_std,residual_drift_mean,residual_drift_std,safety_buffer_mean,safety_buffer_std,assign_delay_mean,assign_delay_std,dispatch_cost_mean,dispatch_cost_std,calibration_coverage_p90,calibration_error,decision_volatility_mean,decision_volatility_max,congestion_volatility_mean,run_id,mri_mean,mri_std,kvi_mean,kvi_std
RPKOE,7.798578039522622,7.0235127594067635,15.943958074343975,19.445877288635746,3.7554129707846484,3.0003858742107985,7.948570620548751,0.74995,0.6343,0.8516933520426035,0.8516933520426035,1.8868013265794092,0.15749309028179673,1.0296084473602236,13.906684238665033,6.45324663941303,1.0132909457179677,2.278962350120655,8.923503039522622,6.822058032364384,0.9551,0.05509999999999993,1.964671568533577,6.906682675203811,0.08927681416755881,12,0.6158579395368401,0.032157570670569534,6.5817540501154665,3.3077032348171844
Baseline,8.717398173009384,8.37429613745833,16.93659571641928,20.292873361611637,3.465454494194679,2.725215977161154,7.314561980851281,0.77565,0.69695,0.893013587210078,0.893013587210078,1.8636837922372533,0.0,0.0,3.0,0.0,0.0,0.0,9.880873173009382,6.981277383044284,,,0.0,0.0,,13,,,,
RPKOE,7.74294121868441,7.094103777081642,15.74525842359357,19.180565098076748,3.7515120124563692,3.0370634959097513,7.859468530786321,0.7454,0.6336,0.8967720656438009,0.8967720656438009,1.8636837922372533,0.10381744441566189,1.0688608643927944,13.945515352668759,6.115401209729878,0.9782154327586948,2.261675018015529,8.86104121868441,6.704121166747857,0.95725,0.05725000000000002,1.9705049051932113,6.483265016169586,0.08851783839406935,13,0.6165342231733191,0.031904063165776354,6.5884580067608765,3.2026275308363674
Baseline,8.95784006299653,8.597556487564646,17.33040702328102,20.61910914090483,3.5157808522024876,2.7062021798028395,7.492942407458102,0.7837,0.7042,0.8371845443833054,0.8371845443833054,1.8827381812733106,0.0,0.0,3.0,0.0,0.0,0.0,10.13339006299653,7.179971620660338,,,0.0,0.0,,14,,,,
RPKOE,7.905728805679957,7.1868340729676135,16.092322992698783,19.410928449793705,3.815147875170225,3.0006282075306663,8.146731890092132,0.75215,0.63675,0.8411614929275156,0.8411614929275156,1.8827381812733106,0.20237423738357047,1.0716247198629483,14.058230274715147,6.737569243257891,1.0560882058607808,2.2950436357041375,9.033953805679957,6.912762625455068,0.95695,0.056949999999999945,2.016950433618223,7.998043143298364,0.09121489730739914,14,0.6174530205575282,0.033753509626601993,6.683933090189133,3.5095336563646984
Baseline,9.09345926711356,8.668963591222138,17.665782467217383,20.97865920260274,3.639816289054743,2.867861692388681,7.735794922787429,0.7893,0.7148,0.8328711030996323,0.8328711030996323,1.9777659884526326,0.0,0.0,3.0,0.0,0.0,0.0,10.277409267113562,7.189757017811911,,,0.0,0.0,,15,,,,
RPKOE,8.066263610932726,7.308909013440058,16.46908339505007,19.851853960463473,3.943113254741675,3.147723621907719,8.34544265431447,0.7565,0.6486,0.838932818340317,0.838932818340317,1.9777659884526326,0.16053571370229672,1.1367932359335842,14.486019501075504,7.161195098167704,1.0332573714215219,2.3255720450580277,9.201013610932726,6.959737854278916,0.9572,0.05720000000000003,2.028169756699981,6.590214016396423,0.09163985238305679,15,0.6133215059594842,0.032793751269115906,6.803499543449699,3.7933062305488647
Baseline,8.997747453149204,8.659413120012523,17.42747678978713,20.788719298856012,3.531772759345694,2.7921428210110824,7.517254691686212,0.7866,0.7122,0.8189323843281744,0.8189323843281744,1.9047159241696332,0.0,0.0,3.0,0.0,0.0,0.0,10.177647453149204,7.088172060561762,,,0.0,0.0,,16,,,,
RPKOE,7.966727129422221,7.225530922404275,16.225091331684123,19.592509540746676,3.82317806589757,3.0576330035239776,8.060354569720104,0.75735,0.6492,0.823147386445938,0.823147386445938,1.9047159241696332,0.1358235742409583,1.1140322383528976,14.159899842717307,6.618664442563283,1.0352353258447449,2.343929529850357,9.102752129422221,6.819065265784121,0.9576,0.057599999999999985,2.0457659277230342,6.083855352220574,0.0924671161269712,16,0.6154702139053827,0.032802557448973264,6.678624503768308,3.4639836419205317
Baseline,9.017919088199827,8.61148431009056,17.6034655736061,20.918477891557057,3.5305197993217114,2.748874907464187,7.52977857062651,0.7842,0.70635,0.8299587964933919,0.8299587964933919,1.9237837150648753,0.0,0.0,3.0,0.0,0.0,0.0,10.194219088199826,7.1274286888662575,,,0.0,0.0,,17,,,,
RPKOE,7.938124795825801,7.18324165659434,16.305204441713894,19.73269444510323,3.8277093515002023,3.0434523691017503,8.094228112039746,0.7502,0.63875,0.8353873757083926,0.8353873757083926,1.9237837150648753,0.20604470275623615,1.0544346253754173,14.11345546948071,6.419609622182554,1.0852228715890253,2.37535052077241,9.063424795825801,6.848071800504248,0.9581,0.05809999999999993,2.035185849767842,7.827188386726214,0.09197776313293936,17,0.6137537282076825,0.032266728575829746,6.688194181786383,3.376037956171034
Baseline,8.86540842202713,8.498403696279283,17.17813708748535,20.456528290138984,3.4867055946090155,2.730036173292599,7.405693959132319,0.78095,0.70335,0.8714282960948198,0.8714282960948198,1.8411638427169699,0.0,0.0,3.0,0.0,0.0,0.0,10.03683342202713,7.048584415455278,,,0.0,0.0,,18,,,,
RPKOE,7.802004400265975,7.089019047901381,15.845216954000506,19.345676442064327,3.768529864076355,3.012265430946937,7.972989569025051,0.74875,0.63535,0.8755430717738018,0.8755430717738018,1.8411638427169699,0.08241017450151321,1.0589416171992565,13.800975255521674,6.287151574137682,1.0675187974401374,2.3422757077250593,8.925129400265975,6.768700282761887,0.95655,0.05654999999999999,2.038853989210659,5.987632871116386,0.0880432676921223,18,0.6181641192039444,0.032936218407571556,6.544099320897079,3.3489173378254695
Baseline,8.996826327827389,8.6380327100795,17.3163430137369,20.72249648588441,3.5687692964755295,2.805995591113361,7.634567424142617,0.78505,0.71035,0.8447464671957275,0.8447464671957275,1.9160488181840878,0.0,0.0,3.0,0.0,0.0,0.0,10.17440132782739,7.128577585738509,,,0.0,0.0,,19,,,,
RPKOE,7.91221073227124,7.192605527905833,16.084278640050158,19.67656577602409,3.8742745763145545,3.110809676962078,8.21250050227994,0.75015,0.64065,0.8499220823458596,0.8499220823458596,1.9160488181840878,0.06287368194135956,1.106467412474069,14.155763033803238,6.527529651535676,1.0897912107062828,2.403491322913736,9.03743573227124,6.8639281764311635,0.9605,0.0605,2.1152016011711425,6.768133252000003,0.09243272312238827,19,0.6159013903308969,0.032973178617110514,6.677928142895628,3.433085141152588
